 71500 71.500000 -1.941150 99.682900 11.069100   0.084923 97.722300 11.003200   
 71750 71.750000 -1.788060 99.877600 10.854200   0.087153 97.899900 11.090700   
 72000 72.000000 -1.801650 100.286000 10.559500   0.307903 98.534000 11.178900   
 72250 72.250000 -1.928610 100.378000 10.947500   0.530142 98.972300 11.233600   
 72500 72.500000 -1.760620 100.810000 10.973700   0.409355 98.859000 11.008800   
 72750 72.750000 -2.036580 101.258000 11.175800   0.079752 99.516800 11.426300   
 73000 73.000000 -1.906040 101.190000 10.970500   -0.002913 99.312400 11.044300   
 73250 73.250000 -2.186360 100.779000 10.432200   0.109031 99.354200 11.226500   
 73500 73.500000 -2.009470 100.827000 11.095200   0.068291 98.901800 11.208300   
 73750 73.750000 -1.953350 101.318000 11.024100   0.028021 99.486600 11.068800   
 74000 74.000000 -2.388040 101.537000 10.684300   -0.251564 100.087000 11.471600   
 74250 74.250000 -2.086990 101.481000 10.451500   0.263112 99.974700 10.956400   
 74500 74.500000 -1.722680 101.881000 10.936900   0.255710 100.137000 11.354800   
 74750 74.750000 -1.805250 101.858000 11.091800   0.168455 100.094000 11.253100   
 75000 75.000000 -1.916750 101.644000 10.497700   0.059057 99.866300 11.243000   
 75250 75.250000 -2.143470 101.786000 10.749300   0.360489 100.279000 11.116800   
 75500 75.500000 -1.637580 101.858000 10.867300   0.344767 100.071000 11.215700   
 75750 75.750000 -1.901870 102.525000 10.413900   0.006512 100.765000 11.106900   
 76000 76.000000 -2.203740 102.719000 10.162800   -0.648472 100.987000 11.251500   
 76250 76.250000 -2.167420 103.199000 10.389900   -0.885857 100.845000 11.117200   
 76500 76.500000 -2.302820 103.444000 10.607700   -0.845059 100.911000 11.070700   
 76750 76.750000 -2.126880 102.965000 10.668300   -0.359190 101.092000 11.185100   
 77000 77.000000 -2.456480 103.319000 10.999800   -0.191437 102.040000 11.304300   
 77250 77.250000 -2.842620 103.512000 10.891100   -0.087357 102.167000 11.158100   
 77500 77.500000 -2.780660 103.400000 10.971500   -0.620705 101.664000 11.167400   
 77750 77.750000 -3.059140 103.280000 11.053700   -0.956607 101.590000 11.140700   
 78000 78.000000 -3.971730 102.950000 11.255100   -1.372530 101.590000 11.394600   
 78250 78.250000 -3.654580 103.160000 10.264600   -1.248940 101.526000 11.038000   
 78500 78.500000 -3.039120 103.239000 10.890200   -1.087470 101.009000 11.393800   
 78750 78.750000 -2.435560 102.594000 10.820800   0.003592 101.207000 11.241400   
 79000 79.000000 -3.032940 102.522000 11.786400   -0.628305 101.054000 11.287600   
 79250 79.250000 -3.232040 102.439000 10.372900   -1.194710 100.693000 11.195900   
 79500 79.500000 -2.872800 102.934000 10.421000   -1.256540 100.902000 11.535800   
 79750 79.750000 -2.809760 103.420000 9.728860   -1.246530 101.124000 10.941500   
 80000 80.000000 -2.653270 103.401000 9.816630   -1.995500 101.258000 11.299700   
 80250 80.250000 -3.177030 104.302000 9.710130   -2.344420 101.479000 11.049000   
 80500 80.500000 -2.778090 103.456000 9.771250   -2.155160 100.860000 10.700400   
 80750 80.750000 -2.764040 104.075000 9.775570   -2.262080 101.677000 11.357300   
 81000 81.000000 -3.126660 103.799000 9.969000   -2.282110 101.323000 11.168700   
 81250 81.250000 -2.979910 103.855000 9.758160   -2.037610 101.525000 11.171200   
 81500 81.500000 -3.031430 103.717000 10.128200   -1.970640 101.319000 11.295000   
 81750 81.750000 -3.131590 103.655000 10.349300   -1.351830 101.608000 11.242200   
 82000 82.000000 -3.458700 103.774000 10.101400   -1.745360 101.415000 10.932400   
 82250 82.250000 -3.159200 103.859000 10.081200   -1.643540 101.705000 11.012300   
 82500 82.500000 -3.043570 103.960000 9.940440   -1.386200 101.915000 11.323000   
